learning_modality,year,student_count,state,population,abbreviation,student_count_per_10k
Hybrid,2021,8033,Alaska,736990,AK,108.99740837731856
Hybrid,2021,5863,Alabama,4893186,AL,11.981968394416235
Hybrid,2021,1354,Arkansas,3011873,AR,4.495541478674566
Hybrid,2021,735,Arizona,7174064,AZ,1.0245238960789869
Hybrid,2021,3320,California,39346023,CA,0.8437955724267228
Hybrid,2021,19133,Colorado,5684926,CO,33.65567115561399
Hybrid,2021,5203,Connecticut,3570549,CT,14.571988789399052
Hybrid,2021,25949,District of Columbia,701974,DC,369.65756566482514
Hybrid,2021,8022,Delaware,967679,DE,82.89939122374258
Hybrid,2021,64269,Florida,21216924,FL,30.291384368440966
Hybrid,2021,12684,Georgia,10516579,GA,12.06095632429519
Hybrid,2021,1893,Iowa,3150011,IA,6.0095028239583925
Hybrid,2021,662,Idaho,1754367,ID,3.7734407908949494
Hybrid,2021,21501,Illinois,12716164,IL,16.908400992626394
Hybrid,2021,1672,Indiana,6696893,IN,2.4966801769118905
Hybrid,2021,1436,Kansas,2912619,KS,4.930270660185902
Hybrid,2021,2769,Kentucky,4461952,KY,6.205804096503056
Hybrid,2021,14588,Louisiana,4664616,LA,31.273742576023405
Hybrid,2021,7038,Massachusetts,6873003,MA,10.240065368806038
Hybrid,2021,92435,Maryland,6037624,MD,153.0983048960982
Hybrid,2021,1841,Maine,1340825,ME,13.730352581433074
Hybrid,2021,2321,Michigan,9973907,MI,2.327072029045388
Hybrid,2021,3493,Minnesota,5600166,MN,6.237315108159294
Hybrid,2021,1569,Missouri,6124160,MO,2.5619840108684295
Hybrid,2021,15455,Mississippi,2981835,MS,51.83050034626329
Hybrid,2021,981,Montana,1061705,MT,9.239854761915975
Hybrid,2021,11317,North Carolina,10386227,NC,10.896160848400482
Hybrid,2021,10160,Nebraska,1923826,NE,52.8114288922179
Hybrid,2021,1443,New Hampshire,1355244,NH,10.64752915342182
Hybrid,2021,2239,New Jersey,8885418,NJ,2.5198589419203463
Hybrid,2021,1341,New Mexico,2097021,NM,6.394785746065491
Hybrid,2021,164776,Nevada,3030281,NV,543.7647531697555
Hybrid,2021,7001,New York,19514849,NY,3.587524556300692
Hybrid,2021,4110,Ohio,11675275,OH,3.5202596940971413
Hybrid,2021,2765,Oklahoma,3949342,OK,7.001166270229319
Hybrid,2021,4436,Oregon,4176346,OR,10.621725307242263
Hybrid,2021,7305,Pennsylvania,12794885,PA,5.709312744897669
Hybrid,2021,4494,Rhode Island,1057798,RI,42.48448191431635
Hybrid,2021,20700,South Carolina,5091517,SC,40.65585954048666
Hybrid,2021,13620,South Dakota,879336,SD,154.8895985152433
Hybrid,2021,16574,Tennessee,6772268,TN,24.473337440278502
Hybrid,2021,5329,Texas,28635442,TX,1.8609805289542938
Hybrid,2021,1138,Utah,3151239,UT,3.611277976694246
Hybrid,2021,10078,Virginia,8509358,VA,11.843431666642772
Hybrid,2021,1659,Vermont,624340,VT,26.572060095460806
Hybrid,2021,2588,Washington,7512465,WA,3.444941174434756
Hybrid,2021,18729,Wisconsin,5806975,WI,32.25259278712238
Hybrid,2021,7912,West Virginia,1807426,WV,43.77495952808027
Hybrid,2022,7842,Alaska,736990,AK,106.40578569587105
Hybrid,2022,3756,Alabama,4893186,AL,7.675980434833256
Hybrid,2022,2064,Arkansas,3011873,AR,6.8528785908303576
Hybrid,2022,814,Arizona,7174064,AZ,1.1346427910316943
Hybrid,2022,1238,California,39346023,CA,0.31464425260972373
Hybrid,2022,66895,Colorado,5684926,CO,117.67083687632874
Hybrid,2022,6390,Connecticut,3570549,CT,17.89640752724581
Hybrid,2022,5794,District of Columbia,701974,DC,82.53866952337266
Hybrid,2022,4885,Delaware,967679,DE,50.48161632111475
Hybrid,2022,4732,Georgia,10516579,GA,4.499562072419177
Hybrid,2022,2973,Iowa,3150011,IA,9.438062279782514
Hybrid,2022,640,Idaho,1754367,ID,3.6480394353062957
Hybrid,2022,4583,Illinois,12716164,IL,3.6040743104602933
Hybrid,2022,912,Indiana,6696893,IN,1.3618255510428494
Hybrid,2022,16805,Kansas,2912619,KS,57.69721340140952
Hybrid,2022,2813,Kentucky,4461952,KY,6.304415645887719
Hybrid,2022,2323,Louisiana,4664616,LA,4.980045517144391
Hybrid,2022,2365,Massachusetts,6873003,MA,3.4409995165141063
Hybrid,2022,144624,Maryland,6037624,MD,239.53793744029107
Hybrid,2022,1768,Maine,1340825,ME,13.185911658866742
Hybrid,2022,623,Michigan,9973907,MI,0.624629846658887
Hybrid,2022,1851,Minnesota,5600166,MN,3.305259165531879
Hybrid,2022,1162,Missouri,6124160,MO,1.8974030724213606
Hybrid,2022,1862,Mississippi,2981835,MS,6.244476974748771
Hybrid,2022,79,Montana,1061705,MT,0.7440861632939471
Hybrid,2022,3612,North Carolina,10386227,NC,3.477682511657024
Hybrid,2022,863,North Dakota,760394,ND,11.34937940067912
Hybrid,2022,6105,Nebraska,1923826,NE,31.733639112892746
Hybrid,2022,2076,New Hampshire,1355244,NH,15.318274790369852
Hybrid,2022,3186,New Jersey,8885418,NJ,3.585650106725424
Hybrid,2022,11329,New Mexico,2097021,NM,54.02425631407601
Hybrid,2022,61236,Nevada,3030281,NV,202.08026912355652
Hybrid,2022,1159,New York,19514849,NY,0.5939067220043568
Hybrid,2022,2863,Ohio,11675275,OH,2.4521906336253325
Hybrid,2022,977,Oklahoma,3949342,OK,2.4738298177265983
Hybrid,2022,5224,Oregon,4176346,OR,12.508542156229392
Hybrid,2022,3147,Pennsylvania,12794885,PA,2.4595766198758335
Hybrid,2022,2976,Rhode Island,1057798,RI,28.133915927237528
Hybrid,2022,15435,South Carolina,5091517,SC,30.315130048667225
Hybrid,2022,930,South Dakota,879336,SD,10.576162013155383
Hybrid,2022,16801,Tennessee,6772268,TN,24.80852795547961
Hybrid,2022,18283,Texas,28635442,TX,6.384745169988995
Hybrid,2022,3447,Utah,3151239,UT,10.938554644696897
Hybrid,2022,19939,Virginia,8509358,VA,23.431849970350292
Hybrid,2022,2189,Vermont,624340,VT,35.06102444181055
Hybrid,2022,3468,Washington,7512465,WA,4.61632766342339
Hybrid,2022,2736,Wisconsin,5806975,WI,4.711575303837196
Hybrid,2022,5563,West Virginia,1807426,WV,30.7785768269351
In Person,2021,3275,Alaska,736990,AK,44.43750932848478
In Person,2021,5477,Alabama,4893186,AL,11.193116305000466
In Person,2021,2102,Arkansas,3011873,AR,6.979045929227428
In Person,2021,2401,Arizona,7174064,AZ,3.3467780605246897
In Person,2021,5509,California,39346023,CA,1.4001415085839806
In Person,2021,5329,Colorado,5684926,CO,9.373912694729887
In Person,2021,2772,Connecticut,3570549,CT,7.763511997734802
In Person,2021,1790,District of Columbia,701974,DC,25.499519925239397
In Person,2021,3816,Delaware,967679,DE,39.43456456118196
In Person,2021,45343,Florida,21216924,FL,21.371146920260447
In Person,2021,9114,Georgia,10516579,GA,8.66631629924522
In Person,2021,1685,Iowa,3150011,IA,5.349187669503377
In Person,2021,2205,Idaho,1754367,ID,12.568635866953722
In Person,2021,2300,Illinois,12716164,IL,1.808721560999056
In Person,2021,3010,Indiana,6696893,IN,4.494621610349755
In Person,2021,1856,Kansas,2912619,KS,6.372271828206848
In Person,2021,4415,Kentucky,4461952,KY,9.894772512120257
In Person,2021,5847,Louisiana,4664616,LA,12.534793860845138
In Person,2021,2583,Massachusetts,6873003,MA,3.7581825586283024
In Person,2021,37819,Maryland,6037624,MD,62.63887913523598
In Person,2021,1038,Maine,1340825,ME,7.741502433203438
In Person,2021,1965,Michigan,9973907,MI,1.9701406880974528
In Person,2021,2066,Minnesota,5600166,MN,3.689176356558002
In Person,2021,1714,Missouri,6124160,MO,2.798751175671439
In Person,2021,3264,Mississippi,2981835,MS,10.946279723727168
In Person,2021,513,Montana,1061705,MT,4.8318506553138585
In Person,2021,5518,North Carolina,10386227,NC,5.312805121628865
In Person,2021,775,North Dakota,760394,ND,10.192084629810335
In Person,2021,1586,Nebraska,1923826,NE,8.243988801482047
In Person,2021,1396,New Hampshire,1355244,NH,10.300728134564698
In Person,2021,2272,New Jersey,8885418,NJ,2.5569984439674083
In Person,2021,2961,New Mexico,2097021,NM,14.120030271513734
In Person,2021,29473,Nevada,3030281,NV,97.26160709188356
In Person,2021,2989,New York,19514849,NY,1.5316541778007096
In Person,2021,2244,Ohio,11675275,OH,1.9220104023245703
In Person,2021,1534,Oklahoma,3949342,OK,3.8841913412411486
In Person,2021,3344,Oregon,4176346,OR,8.006999420067206
In Person,2021,2704,Pennsylvania,12794885,PA,2.1133445122797117
In Person,2021,2577,Rhode Island,1057798,RI,24.361929215218787
In Person,2021,9532,South Carolina,5091517,SC,18.72133590047917
In Person,2021,1038,South Dakota,879336,SD,11.804361472747619
In Person,2021,6835,Tennessee,6772268,TN,10.092630711011436
In Person,2021,4927,Texas,28635442,TX,1.7205950583895302
In Person,2021,5032,Utah,3151239,UT,15.968322301164717
In Person,2021,10478,Virginia,8509358,VA,12.313502381730796
In Person,2021,1297,Vermont,624340,VT,20.77393727776532
In Person,2021,3926,Washington,7512465,WA,5.225981086101566
In Person,2021,1920,Wisconsin,5806975,WI,3.3063686342717165
In Person,2021,4909,West Virginia,1807426,WV,27.160171426105414
In Person,2021,2248,Wyoming,581348,WY,38.66874918293345
In Person,2022,3296,Alaska,736990,AK,44.722452136392626
In Person,2022,5655,Alabama,4893186,AL,11.556887475767322
In Person,2022,2104,Arkansas,3011873,AR,6.985686315458852
In Person,2022,2515,Arizona,7174064,AZ,3.5056838076716352
In Person,2022,5635,California,39346023,CA,1.432165075489332
In Person,2022,5635,Colorado,5684926,CO,9.912178276375101
In Person,2022,2850,Connecticut,3570549,CT,7.981965798536864
In Person,2022,1819,District of Columbia,701974,DC,25.91264063911199
In Person,2022,4181,Delaware,967679,DE,43.206476527856864
In Person,2022,47424,Florida,21216924,FL,22.351967702764078
In Person,2022,9464,Georgia,10516579,GA,8.999124144838355
In Person,2022,1728,Iowa,3150011,IA,5.485695129318596
In Person,2022,2343,Idaho,1754367,ID,13.355244370191642
In Person,2022,2479,Illinois,12716164,IL,1.9494872824855043
In Person,2022,3085,Indiana,6696893,IN,4.606613843165778
In Person,2022,1863,Kansas,2912619,KS,6.396305181007197
In Person,2022,4439,Kentucky,4461952,KY,9.948560629966437
In Person,2022,5813,Louisiana,4664616,LA,12.461904688403076
In Person,2022,2706,Massachusetts,6873003,MA,3.9371436328486977
In Person,2022,37521,Maryland,6037624,MD,62.14530749182129
In Person,2022,1072,Maine,1340825,ME,7.9950776574124145
In Person,2022,2068,Michigan,9973907,MI,2.073410149102052
In Person,2022,2068,Minnesota,5600166,MN,3.6927476792652216
In Person,2022,1800,Missouri,6124160,MO,2.939178597554603
In Person,2022,3523,Mississippi,2981835,MS,11.814872385628313
In Person,2022,501,Montana,1061705,MT,4.718824908990727
In Person,2022,6172,North Carolina,10386227,NC,5.942485177726233
In Person,2022,750,North Dakota,760394,ND,9.863307706268067
In Person,2022,1544,Nebraska,1923826,NE,8.025673839526029
In Person,2022,1489,New Hampshire,1355244,NH,10.986951427196875
In Person,2022,2346,New Jersey,8885418,NJ,2.640280963709304
In Person,2022,2684,New Mexico,2097021,NM,12.799108831051287
In Person,2022,26412,Nevada,3030281,NV,87.16023365489868
In Person,2022,3125,New York,19514849,NY,1.6013446991057938
In Person,2022,2396,Ohio,11675275,OH,2.0522000552449513
In Person,2022,1532,Oklahoma,3949342,OK,3.8791272065068054
In Person,2022,3299,Oregon,4176346,OR,7.899249726914389
In Person,2022,2785,Pennsylvania,12794885,PA,2.1766510601697475
In Person,2022,2667,Rhode Island,1057798,RI,25.212753285598954
In Person,2022,10427,South Carolina,5091517,SC,20.479161711529198
In Person,2022,1054,South Dakota,879336,SD,11.986316948242767
In Person,2022,7567,Tennessee,6772268,TN,11.173509376770085
In Person,2022,5083,Texas,28635442,TX,1.7750730021907817
In Person,2022,5161,Utah,3151239,UT,16.37768509465642
In Person,2022,10791,Virginia,8509358,VA,12.681332716287175
In Person,2022,1373,Vermont,624340,VT,21.99122273120415
In Person,2022,4065,Washington,7512465,WA,5.4110069065213615
In Person,2022,2088,Wisconsin,5806975,WI,3.5956758897704915
In Person,2022,5204,West Virginia,1807426,WV,28.792326767458253
In Person,2022,2204,Wyoming,581348,WY,37.9118875441216
Remote,2021,5167,Alabama,4893186,AL,10.559582243552564
Remote,2021,1215,Arizona,7174064,AZ,1.6936007261713864
Remote,2021,1258,California,39346023,CA,0.31972735846771605
Remote,2021,1474,Colorado,5684926,CO,2.592821788709299
Remote,2021,4857,Georgia,10516579,GA,4.618422017273868
Remote,2021,616,Idaho,1754367,ID,3.5112379564823097
Remote,2021,1401,Illinois,12716164,IL,1.1017473508520337
Remote,2021,431,Indiana,6696893,IN,0.6435820312494167
Remote,2021,936,Kansas,2912619,KS,3.213602603018108
Remote,2021,2158,Kentucky,4461952,KY,4.8364482630023815
Remote,2021,3209,Louisiana,4664616,LA,6.879451599016939
Remote,2021,701,Massachusetts,6873003,MA,1.0199326262479442
Remote,2021,572,Maine,1340825,ME,4.2660302425745344
Remote,2021,916,Michigan,9973907,MI,0.9183963716525531
Remote,2021,1000,Minnesota,5600166,MN,1.785661353609875
Remote,2021,146,Missouri,6124160,MO,0.23840004180165117
Remote,2021,2616,Mississippi,2981835,MS,8.773121249163685
Remote,2021,414,Montana,1061705,MT,3.899388248148026
Remote,2021,974,North Carolina,10386227,NC,0.9377803893560193
Remote,2021,427,New Jersey,8885418,NJ,0.4805626476998606
Remote,2021,760,New Mexico,2097021,NM,3.62418878971646
Remote,2021,5582,Nevada,3030281,NV,18.42073391873559
Remote,2021,2632,New York,19514849,NY,1.3487165593748638
Remote,2021,2559,Ohio,11675275,OH,2.19181132778457
Remote,2021,418,Oklahoma,3949342,OK,1.0584041594777054
Remote,2021,2710,Oregon,4176346,OR,6.488925965425278
Remote,2021,1698,Pennsylvania,12794885,PA,1.3270928187318605
Remote,2021,135,Rhode Island,1057798,RI,1.2762361055702507
Remote,2021,5987,South Carolina,5091517,SC,11.75877444777264
Remote,2021,1335,South Dakota,879336,SD,15.181909986626271
Remote,2021,5840,Tennessee,6772268,TN,8.623403562883217
Remote,2021,760,Texas,28635442,TX,0.2654053672368668
Remote,2021,774,Utah,3151239,UT,2.4561767609502168
Remote,2021,2322,Virginia,8509358,VA,2.7287605010859806
Remote,2021,642,Washington,7512465,WA,0.8545796885576172
Remote,2021,283,Wisconsin,5806975,WI,0.48734496015567486
Remote,2021,2917,West Virginia,1807426,WV,16.13897332449572
Remote,2022,8801,Alabama,4893186,AL,17.986236370332133
Remote,2022,1880,Arkansas,3011873,AR,6.241963057539278
Remote,2022,3412,Arizona,7174064,AZ,4.756021133906806
Remote,2022,1006,California,39346023,CA,0.255680224657013
Remote,2022,2316,Colorado,5684926,CO,4.073931657157894
Remote,2022,1001,District of Columbia,701974,DC,14.259787399533316
Remote,2022,2736,Delaware,967679,DE,28.27383874197952
Remote,2022,12148,Georgia,10516579,GA,11.551284880758276
Remote,2022,187,Idaho,1754367,ID,1.0659115225035583
Remote,2022,3445,Illinois,12716164,IL,2.709150338105108
Remote,2022,498,Indiana,6696893,IN,0.743628425898398
Remote,2022,51612,Kentucky,4461952,KY,115.6713474282108
Remote,2022,3082,Louisiana,4664616,LA,6.607189101953945
Remote,2022,108844,Maryland,6037624,MD,180.2762146168758
Remote,2022,723,Michigan,9973907,MI,0.7248914592847117
Remote,2022,722,Minnesota,5600166,MN,1.2892474973063297
Remote,2022,1652,Missouri,6124160,MO,2.697512801755669
Remote,2022,1403,Mississippi,2981835,MS,4.7051563885996375
Remote,2022,277,Montana,1061705,MT,2.609010977625611
Remote,2022,171,North Carolina,10386227,NC,0.16464111558509167
Remote,2022,1648,North Dakota,760394,ND,21.672974799906367
Remote,2022,4844,New Jersey,8885418,NJ,5.451628724726287
Remote,2022,276,New Mexico,2097021,NM,1.3161527710022933
Remote,2022,11476,New York,19514849,NY,5.880650165420189
Remote,2022,5455,Ohio,11675275,OH,4.672266820267617
Remote,2022,895,Oklahoma,3949342,OK,2.266200293618532
Remote,2022,3124,Oregon,4176346,OR,7.480223142431207
Remote,2022,4403,Pennsylvania,12794885,PA,3.4412188933312025
Remote,2022,1934,South Carolina,5091517,SC,3.798474992816483
Remote,2022,2135,South Dakota,879336,SD,24.27968376138359
Remote,2022,12263,Texas,28635442,TX,4.282455287402234
Remote,2022,660,Utah,3151239,UT,2.0944142922831306
Remote,2022,232,Washington,7512465,WA,0.3088200743697308
Remote,2022,57802,Wisconsin,5806975,WI,99.53891656154883
